environment,thread count,ok,benchmark,iterations,min [ms],max [ms],avg [ms],stddev [ms],median [ms],p05 [ms],p95 [ms],avg [ms]
boehm_gc,8,[OK],montecarlo.PiMultiThreadBenchmark,5,86.296,99.160,92.871,4.333,92.118,99.160,86.296,92.871
boehm_gc,9,[OK],montecarlo.PiMultiThreadBenchmark,5,73.640,107.701,85.438,12.516,82.428,107.701,73.640,85.438
boehm_gc,10,[OK],montecarlo.PiMultiThreadBenchmark,5,94.948,115.412,103.961,7.248,105.444,115.412,94.948,103.961
boehm_gc,11,[OK],montecarlo.PiMultiThreadBenchmark,5,77.894,108.699,97.466,10.743,100.768,108.699,77.894,97.466
boehm_gc,12,[OK],montecarlo.PiMultiThreadBenchmark,5,76.402,110.464,95.253,11.410,99.209,110.464,76.402,95.253
boehm_gc,13,[OK],montecarlo.PiMultiThreadBenchmark,5,82.635,100.506,89.508,6.248,89.037,100.506,82.635,89.508
boehm_gc,14,[OK],montecarlo.PiMultiThreadBenchmark,5,79.548,117.519,96.861,13.407,94.347,117.519,79.548,96.861
boehm_gc,15,[OK],montecarlo.PiMultiThreadBenchmark,5,68.774,114.409,92.619,14.603,91.970,114.409,68.774,92.619
boehm_gc,16,[OK],montecarlo.PiMultiThreadBenchmark,5,81.849,96.678,88.011,4.930,86.402,96.678,81.849,88.011
boehm_gc,17,[OK],montecarlo.PiMultiThreadBenchmark,5,85.890,101.240,95.067,5.600,95.144,101.240,85.890,95.067
boehm_gc,18,[OK],montecarlo.PiMultiThreadBenchmark,5,86.600,110.253,95.514,8.578,90.682,110.253,86.600,95.514
boehm_gc,19,[OK],montecarlo.PiMultiThreadBenchmark,5,68.902,101.481,91.197,11.592,93.759,101.481,68.902,91.197
boehm_gc,20,[OK],montecarlo.PiMultiThreadBenchmark,5,59.663,100.224,84.844,15.119,93.218,100.224,59.663,84.844
boehm_gc,21,[OK],montecarlo.PiMultiThreadBenchmark,5,71.384,104.857,88.667,11.832,87.687,104.857,71.384,88.667
boehm_gc,22,[OK],montecarlo.PiMultiThreadBenchmark,5,81.683,105.127,91.663,7.917,91.751,105.127,81.683,91.663
boehm_gc,23,[OK],montecarlo.PiMultiThreadBenchmark,5,84.794,116.741,97.830,13.234,89.160,116.741,84.794,97.830
boehm_gc,24,[OK],montecarlo.PiMultiThreadBenchmark,5,86.931,112.973,97.637,8.983,95.770,112.973,86.931,97.637
boehm_gc,25,[OK],montecarlo.PiMultiThreadBenchmark,5,87.500,104.473,94.223,5.740,92.842,104.473,87.500,94.223
boehm_gc,26,[OK],montecarlo.PiMultiThreadBenchmark,5,71.360,109.746,87.522,13.076,85.546,109.746,71.360,87.522
boehm_gc,27,[OK],montecarlo.PiMultiThreadBenchmark,5,81.693,105.906,90.123,8.617,88.705,105.906,81.693,90.123
boehm_gc,28,[OK],montecarlo.PiMultiThreadBenchmark,5,79.161,116.485,95.968,13.124,96.450,116.485,79.161,95.968
boehm_gc,29,[OK],montecarlo.PiMultiThreadBenchmark,5,92.259,107.348,98.659,5.236,97.471,107.348,92.259,98.659
boehm_gc,30,[OK],montecarlo.PiMultiThreadBenchmark,5,78.921,105.654,91.746,10.758,92.956,105.654,78.921,91.746
boehm_gc,31,[OK],montecarlo.PiMultiThreadBenchmark,5,81.189,101.277,93.296,7.177,96.910,101.277,81.189,93.296
boehm_gc,32,[OK],montecarlo.PiMultiThreadBenchmark,5,80.199,108.127,94.115,9.924,93.054,108.127,80.199,94.115
boehm_gc,33,[OK],montecarlo.PiMultiThreadBenchmark,5,76.666,107.395,89.830,11.786,84.676,107.395,76.666,89.830
boehm_gc,34,[OK],montecarlo.PiMultiThreadBenchmark,5,76.962,103.733,89.542,10.243,90.073,103.733,76.962,89.542
boehm_gc,35,[OK],montecarlo.PiMultiThreadBenchmark,5,83.257,106.557,93.012,9.150,91.384,106.557,83.257,93.012
boehm_gc,36,[OK],montecarlo.PiMultiThreadBenchmark,5,72.449,111.391,90.054,13.686,91.198,111.391,72.449,90.054
boehm_gc,37,[OK],montecarlo.PiMultiThreadBenchmark,5,83.043,101.053,90.646,8.480,84.817,101.053,83.043,90.646
boehm_gc,38,[OK],montecarlo.PiMultiThreadBenchmark,5,79.084,106.939,90.076,9.518,86.997,106.939,79.084,90.076
boehm_gc,39,[OK],montecarlo.PiMultiThreadBenchmark,5,78.262,111.370,93.369,12.184,95.157,111.370,78.262,93.369
boehm_gc,40,[OK],montecarlo.PiMultiThreadBenchmark,5,82.843,107.090,88.543,9.330,84.330,107.090,82.843,88.543
